#Release 13.2 - par O.61xd (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Fri May 04 12:48:44 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       papilio_one_top_map.ncd
#OUTPUT FILE:      papilio_one_top_pad.csv
#PART TYPE:        xc3s500e
#SPEED GRADE:      -4
#PACKAGE:          vq100
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,,,PROG_B,,,,,,,,,,,,
P2,WING_C<5>,IOB,IO_L01P_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P3,WING_C<6>,IOB,IO_L01N_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P4,WING_C<7>,IOB,IO_L02P_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P5,WING_C<8>,IOB,IO_L02N_3/VREF_3,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P6,,,VCCINT,,,,,,,,1.2,,,,
P7,,,GND,,,,,,,,,,,,
P8,,,VCCO_3,,,3,,,,,3.30,,,,
P9,WING_C<9>,IOB,IO_L03P_3/LHCLK0,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P10,WING_C<10>,IOB,IO_L03N_3/LHCLK1,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P11,WING_C<11>,IOB,IO_L04P_3/LHCLK2,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P12,WING_C<12>,IOB,IO_L04N_3/LHCLK3/IRDY2,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P13,,IBUF,IP,UNUSED,,3,,,,,,,,,
P14,,,GND,,,,,,,,,,,,
P15,WING_C<13>,IOB,IO_L05P_3/LHCLK4/TRDY2,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P16,WING_C<14>,IOB,IO_L05N_3/LHCLK5,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P17,WING_C<15>,IOB,IO_L06P_3/LHCLK6,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P18,WING_A<0>,IOB,IO_L06N_3/LHCLK7,BIDIR,LVCMOS33,3,8,FAST,NONE**,NONE,,LOCATED,YES,NONE,
P19,,,GND,,,,,,,,,,,,
P20,,,VCCO_3,,,3,,,,,3.30,,,,
P21,,,VCCAUX,,,,,,,,2.5,,,,
